app	bin	launched	wid	pid	rendered_px	typed_px	close_resid_px	faults
audioplayer	hamaudioscene	yes	6	48	134870	0	134870	0
browser	hambrowse	yes	5	49	394654	21832	394654	0
calculator	hamcalcscene	yes	7	50	60256	112	60256	0
calendar	hamcalscene	yes	8	51	29622	903	29914	0
coindash	hamgamedemo	yes	9	52	65989	429	66086	0
control-center	hamctl	yes	6	42	202134	0	202134	0
editor	hameditscene	yes	5	43	47801	1064	47255	0
files	hamfmscene	yes	7	44	87168	0	87168	0
ham2048	ham2048scene	yes	8	45	153485	20161	154540	0
hamchess	hamchessscene	yes	9	46	175307	0	175307	0
hamgamesnake	hamgamesnake	yes	6	42	57418	0	57418	0
haminput	haminput	yes	5	43	207664	0	207664	0
hammine	hamminescene	yes	7	44	97620	1264	97683	0
hamsheet	hamsheet	yes	8	45	183437	402	183431	0
hamslides	hamslides	yes	9	46	231956	2567	230562	0
hamsnake	hamsnakescene	yes	6	42	174916	0	174916	0
hamtetris	hamtetrisscene	yes	5	43	38501	3072	41237	0
hamwrite	hamwrite	yes	7	44	286872	636	286861	0
installer	haminstallui	yes	8	45	24727	0	24727	0
logviewer	hamlogscene	yes	9	46	161181	0	161174	0
notes	hamnotesscene	yes	6	42	159305	536	159305	0
packagemanager	hamsoftware	yes	5	43	156032	0	156032	0
screenshot	hamshotui	yes	7	46	64375	64375	0	0
sysmon	hammonscene	yes	7	47	178011	5535	177986	0
terminal	hamtermscene	yes	8	48	101074	4344	102393	0
videoplayer	hamvideoscene	yes	9	52	84770	2655	84755	0
